00000	0.000000E+0	0.000000E+0	6.010000E-8	1.000000E+0	-1.500000E+1	
00001	0.000000E+0	0.000000E+0	2.024000E-7	1.000000E+0	-1.350000E+1	
00002	0.000000E+0	0.000000E+0	8.525000E-7	1.000000E+0	-1.200000E+1	
00003	0.000000E+0	0.000000E+0	3.784300E-6	1.000000E+0	-1.050000E+1	
00004	0.000000E+0	0.000000E+0	4.557800E-6	1.000000E+0	-9.000000E+0	
00005	0.000000E+0	0.000000E+0	4.966100E-6	1.000000E+0	-7.500000E+0	
00006	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	-6.000000E+0	
00007	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	-4.500000E+0	
00008	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	-3.000000E+0	
00009	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	-1.500000E+0	
00010	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	0.000000E+0	
00011	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	1.500000E+0	
00012	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	3.000000E+0	
00013	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	4.500000E+0	
00014	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	6.000000E+0	
00015	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	7.500000E+0	
00016	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	9.000000E+0	
00017	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	1.050000E+1	
00018	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	1.200000E+1	
00019	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	1.350000E+1	
00020	0.000000E+0	0.000000E+0	4.999700E-6	1.000000E+0	1.500000E+1	
